date,category,rank,asin,title,price,rating,review_count
2026-08-20,Bestsellers in Men's Clothing,1,B06Y2FG6R7,"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",₹699.00,4.1 out of 5 stars,"82,375"
2026-08-20,Bestsellers in Men's Clothing,2,B07MZG27XK,Amazon Brand - Symbol Men's Cotton Rich Solid Polo Tshirt | Collar Tshirts | Half Sleeves | Plain-Regular Fit (Available in Plus Sizes and Combo Pack of 2),₹399.00,3.9 out of 5 stars,"39,788"
2026-08-20,Bestsellers in Men's Clothing,3,B0DGX12XXV,"SWAGR 12 Pairs Sports Cotton Ankle Length Socks for Men, Pack of 12., Assorted",₹196.99,4.1 out of 5 stars,"7,371"
2026-08-20,Bestsellers in Men's Clothing,4,B012SX56OG,Jockey IC28 Men Tactel Microfiber Elastane Stretch Solid Trunk with Moisture Move Properties,₹629.00,4.4 out of 5 stars,"14,083"
2026-08-20,Bestsellers in Men's Clothing,5,B0CJFQWSYZ,Jockey 8009 Men Super Combed Cotton Solid Long Trunk Boxer Brief(Pack of 3),₹820.00,4.2 out of 5 stars,"4,174"
2026-08-20,Bestsellers in Men's Clothing,6,B076CMJXML,Van Heusen Men's Cotton Solid Regular Fit Collar Polo T-Shirt,₹699.00,4.0 out of 5 stars,"45,135"
2026-08-20,Bestsellers in Men's Clothing,7,B014213DS8,Jockey 8037 Men Super Combed Cotton Solid Brief with Ultrasoft Waistband_(Pack of 2),₹398.00,4.3 out of 5 stars,"14,888"
2026-08-20,Bestsellers in Men's Clothing,8,B0DWK2B887,KOTTY Mens Regular Fit|Classic Design with Stylish Look |Day Comfort|Mide Rise Strachable Jeans,₹520.00,3.7 out of 5 stars,"2,555"
2026-08-20,Bestsellers in Men's Clothing,9,B0D4VQ5NDD,Louis Philippe Men's Slim Fit Single-Tuck Pique Stylized Sleeve Print and Contrast Tipping Half Sleeve Solid Cotton Polo Tshirt,₹869.00,4.0 out of 5 stars,"1,617"
2026-08-20,Bestsellers in Men's Clothing,10,B00W04OTYM,Jockey 8820 Men's Super Combed Cotton Round Neck Sleeveless Vest with Extended Length for Easy Tuck (Pack of 3),₹647.00,4.3 out of 5 stars,"12,783"
2026-08-20,Bestsellers in Men's Clothing,11,B071KKRY5N,Lux Cozi Men's White Round Neck Sleeveless Cotton Vest (Pack of 3),₹349.00,4.2 out of 5 stars,"14,392"
2026-08-20,Bestsellers in Men's Clothing,12,B073WCC5YL,Van Heusen Men’s Cotton Boxer Briefs Pack of 2 | Long Trunk | No ride-up | Super Combed Cotton for softness | Open Front Fly | Moisture‑Wicking | Sweat Absorbant | All‑Day Fresh Technology | Long Lasting Colors |Soft Plush Waistband | Label‑Free Comfort | style 10032,₹487.00,4.1 out of 5 stars,"17,550"
2026-08-20,Bestsellers in Men's Clothing,13,B0FBWMFNLC,"DAMENSCH Form Shapewear for Men, Comfortable and Stretchy Body Shaper for Man, Posture Correcting Tummy Tucker, Breathable Gynecomastia Compression T Shirt, Ideal for Parties Shirt Tucker for Men",₹979.00,3.5 out of 5 stars,654
2026-08-20,Bestsellers in Men's Clothing,14,B0DHXJT8HR,"ROYALSCOUT Men's Cotton Polyester Blend Solid Regular Fit Full Sleeve Short Kurta | Ethnic, Lightweight Summer Kurta for Daily & Occasion Use",₹495.00,4.0 out of 5 stars,"3,136"
2026-08-20,Bestsellers in Men's Clothing,15,B0F4NGRKY4,DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,₹495.00,4.0 out of 5 stars,"1,255"
2026-08-20,Bestsellers in Men's Clothing,16,B07X63HHPH,Levi's 010 Classic Boxer Briefs for Men | 100% Pure Cotton | Breathable | Branded Inner Elastic | Anti-Roll Waistband | Supportive Gusset | Functional Fly | No Ride-Up Long Length Fit | Pack of 2,₹440.00,4.1 out of 5 stars,"12,553"
2026-08-20,Bestsellers in Men's Clothing,17,B09XMV6125,Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,₹648.00,4.0 out of 5 stars,"4,186"
2026-08-20,Bestsellers in Men's Clothing,18,B0BWPGC2PR,"SWAGR Ankle Socks for Men & Women, Multicolor, Pack of 5, Free Size",₹115.00,3.9 out of 5 stars,"5,669"
2026-08-20,Bestsellers in Men's Clothing,19,B0DB5FHWGV,Mehrang Men's Stretchable Stretchable Formal Pant Trousers | Stylish Slim Fit Men's Wear Trousers for Office or Party | Polycotton Knitted Fabric,₹299.00,3.5 out of 5 stars,"2,763"
2026-08-20,Bestsellers in Men's Clothing,20,B0CVXR2T43,Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,₹395.00,3.9 out of 5 stars,"3,834"
2026-08-20,Bestsellers in Men's Clothing,21,B08R8X6QB2,Peter England Men Cotton Ankle Length Socks,₹295.00,4.0 out of 5 stars,"4,699"
2026-08-20,Bestsellers in Men's Clothing,22,B0CBX4JKQ9,U TURN Men's Casual Printed Striped Stylish Latest Formal Plus Size Shirt for Men | Cotton Mix 220 GSM,₹398.00,3.5 out of 5 stars,"2,381"
2026-08-20,Bestsellers in Men's Clothing,23,B0C3HRWRBF,"ZORO Men's Genuine Leather Belt for Men | Black,Brown,Tan",₹269.00,4.0 out of 5 stars,"2,627"
2026-08-20,Bestsellers in Men's Clothing,24,B0C1RY2VXR,Peter England Men's Snug Fit Solid Polo T-Shirt with Coloured Collar Tipping| Cotton Rich| Premium Pique Weave,₹602.10,4.1 out of 5 stars,"3,135"
2026-08-20,Bestsellers in Men's Clothing,25,B0FVY7GNBN,Men's Cotton Baggy Trackpants | Oversized Fit Streetwear & Gym Wear | Comfortable Casual Joggers for Men,₹299.00,3.8 out of 5 stars,"1,743"
2026-08-20,Bestsellers in Men's Clothing,26,B0DRFN3SBV,Lymio Men Shorts || Cotton Short for Men || with Pocket Style (Shorts-09-12),₹599.00,3.8 out of 5 stars,"1,582"
2026-08-20,Bestsellers in Men's Clothing,27,B081QJRMW9,Amazon Brand - Symbol Men's Solid Cotton Formal Shirt | Plain | Full Sleeve - Regular Fit (Available in Plus Sizes),₹549.00,3.9 out of 5 stars,"11,170"
2026-08-20,Bestsellers in Men's Clothing,28,B0DF794BDK,Lymio Cargo for Men | Cotton Cargo Pant | Drawstring Waist Pant (Also Available in Plus Sizes) (46-49),₹799.00,3.5 out of 5 stars,"1,698"
2026-08-20,Bestsellers in Men's Clothing,29,B0B5GYS4YC,XYXX Men's Aero Super Combed Cotton Regular Fit Solid Antimicrobial Trunks with No Marks Waistband (Pack of 2),₹439.00,4.0 out of 5 stars,"5,994"
2026-08-20,Bestsellers in Men's Clothing,30,B0GWQSFZ98,SWAGR 5 Pack Men's Super Combed Cotton Underwear Trunks | Classic TruComfort Fit | Powered by ZincShield Anti-Bacterial Tech | Aerflo Breathability | 4-Way FlexStretch | SOXCO Style SG05,₹594.14,4.1 out of 5 stars,573
2026-08-20,Bestsellers in Men's Clothing,51,B09DCKXK3M,Labnoft Men's Auto Lock Vegan Leather Belt,₹699.00,4.3 out of 5 stars,"10,056"
2026-08-20,Bestsellers in Men's Clothing,52,B07CYX8R5J,Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Sizes),₹549.00,3.8 out of 5 stars,"9,036"
2026-08-20,Bestsellers in Men's Clothing,53,B0BK1HQZD4,"HAMMONDS FLYCATCHER Genuine Leather Belt for Men, Premium Leather Belt with Auto Lock mechanism, Mens Belt Leather Branded with Slide Lock for Everyday Wear",₹889.00,4.4 out of 5 stars,"2,655"
2026-08-20,Bestsellers in Men's Clothing,54,B073X4KMH6,Amazon Brand - Symbol Men's Solid Cotton T Shirt | Round Neck | Half Sleeve | Plain-Regular Fit (Available in Plus Sizes),₹349.00,4.0 out of 5 stars,"19,747"
2026-08-20,Bestsellers in Men's Clothing,55,B0C3DBY5WV,Pepe Jeans Men's Solid Cotton Poly Regular Fit Track Pants | Relaxed Athleisure Sportswear for Gym & Leisure Wear | Durable Poly Cotton Blend | Adjustable Elastic Waist with Drawstring | Dual Pockets,₹749.00,3.8 out of 5 stars,"3,420"
2026-08-20,Bestsellers in Men's Clothing,56,B0GSGWB3RM,boffi ... 100% Cotton Oversized T-Shirt Unisex Drop Shoulder Dye Washed Street Look Black Pack of 1,₹332.00,3.5 out of 5 stars,"1,810"
2026-08-20,Bestsellers in Men's Clothing,57,B0BHW7W1CV,Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,₹845.10,3.9 out of 5 stars,"2,145"
2026-08-20,Bestsellers in Men's Clothing,58,B0BDYRFZYD,"Jockey US57 Men Super Combed Mercerized Cotton Woven Printed Boxer Shorts with Side Pockets_(Pack of 2, Prints May Vary)",₹999.00,4.2 out of 5 stars,"4,133"
2026-08-20,Bestsellers in Men's Clothing,59,B01CP5V3SA,Jockey FP04 Men Super Combed Cotton Rib Round Neck Sleeveless Vest Regular Fit,₹349.00,4.3 out of 5 stars,"8,605"
2026-08-20,Bestsellers in Men's Clothing,60,B00W066T66,Jockey 9930 Men Super Combed Cotton Rib Solid Round Neck Muscle Vest Regular Fit,₹339.00,4.2 out of 5 stars,"10,621"
2026-08-20,Bestsellers in Men's Clothing,61,B01420KN9G,Jockey Men Boxer Briefs,₹550.00,4.2 out of 5 stars,"13,364"
2026-08-20,Bestsellers in Men's Clothing,62,B0DP7M6DRY,Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-40-43),₹429.00,3.6 out of 5 stars,919
2026-08-20,Bestsellers in Men's Clothing,63,B0FHDL7JY8,LEOTUDE Men's Half Sleeve Round Neck Cottonblend Graphic Print Oversized,₹298.00,3.9 out of 5 stars,"1,141"
